items,calorie
 Tea,0
Americano,10
Wolfberry Tea,18
Chrysanthemum Tea,29
Espresso,45
Honey Tea,65
Roselle Tea,66
Coca-cola,81
Sprite,92
Matcha Ice-cream,96
Vanilla Ice-cream,100
Black/ Green Tea,122
Matcha Milk,138
Jasmine Green Tea,140
Assam Tea,170
Italian Hot Cocoa,172
Green Tea with Grapefruit Juice,173
Yakult with Green Tea,192
Darjeeling Fresh Milk Tea,195
Green Tea with Passion Fruit Juice,203
Yogurt with Apple Juice,204
Italian Iced Cocoa,205
Fresh Milk Green Tea,206
Yogurt with Green Tea,207
Honey Pomelo Tea,207.5
Chocolate Milk,208
Soybean Milk,209
Milk Tea,210
Honey Lemon Tea,213
Plum Green Tea,220
Jasmine Milk Tea,246
Orange Juice,250
Coca-cola,255
Fresh Milk Tea,256
Hot Cappucino,270
Hot Vienna Coffee,289
/Tiramisu/Latte,292
Bubble Milk Tea,365
Iced Latte,379
Italian Mocha Chocolate,402
Hot Coffee,421
Coffee topping with Ice-cream,422
Iced Vienna Coffee,435
Iced Chocolate Mocha,469
Iced Coffee,502
