items,calorie
No,0
Toast,50
Bun,60
Hash brown/ 2 slices,90
Roasted strawberry jam toast thin slice,120
French Fries,130
Roasted chocolate toast thin slice,176
Roasted peanut toast thin slice,183.8
Pineapple bun,185
Roasted milky toast thin slice,186.7
Roasted butter toast thin slice,190.8
Carrot cake/ 2 slices,214
Bun with strawberry jam,225
Coconut flavored bread,226
Traditional cold noodles,228
Submarine sandwich with vegetables,230
Mini hotdogs/ 5,231
Original chinese omelet,236
Chinese omelet with basil,239
Roasted strawberry jam toast thick slice,244
Chinese omelet with vegetables,248
Bagel,250
